23ct DIY Art Kit Crystal Mobile Butterflies - SentoSphere USA,80341902,"A fun creative activity to create beautiful room decorations! With this kit, kids can create their own stained glass butterflies by adding their favorite paint colors to decorative butterfly frames. The paint dries crystal clear, like colored glass! Then, assemble the mobile and watch your beautiful butterflies move in the sun and create a thousand reflections!Kit includes:• 8 decorative butterflies• 4 steel hangers for the mobiles• 10 tubes of stained glass paints• 5.5 feet of invisible nylon thread• InstructionsCreated by Véronique Debroise in France.",https://www.target.com/p/23ct-diy-art-kit-crystal-mobile-butterflies-sentosphere-usa/-/A-80341902,https://target.scene7.com/is/image/Target/GUEST_e11ac0ad-8080-4643-8868-7e082db5ab77
The Art of Community - by  Charles Vogl (Paperback),51413426,"  Book Synopsis Create a Culture of Belonging!  Strong cultures help people support one another, share their passions, and achieve big goals. And such cultures of belonging aren't just happy accidents - they can be purposefully cultivated, whether they're in a company, a faith institution or among friends and enthusiasts. Drawing on 3,000 years of history and his personal experience, Charles Vogl lays out seven time-tested principles for growing enduring, effective and connected communities. He provides hands-on tools for creatively adapting these principles to any group--formal or informal, mission driven or social, physical or virtual. This book is a guide for leaders seeking to build a vibrant, living culture that will enrich lives.  Winner of the Nautilus Silver Book Award in the Business and Leadership Category.  Review Quotes ""The Art of Community is a powerful, practical, and modern articulation of, and advancement on, timeless wisdom. Emerging or veteran leaders who integrate these principles will build communities that are more resilient, passionate, and harmonious in the face of adversity and uncertainty. Flip to any page to find insight and inspiration.""  --Alan Price, Founding Director, Global Leadership Initiative, Harvard Business School, and author of Ready To Lead?  ""A useful field guide to create durable and profound connections . . . An important undertaking, as isolation and loneliness are a root cause of the breakdowns all around us, including extreme violence.""  --Peter Block, author of Community and Flawless Consulting  ""At last, here is an insightful guide to create the community you have envisioned for yourself and others."" --Richard Leider, best selling author of the Power of Purpose and Life Reimagined  ""A brilliantly intentional, well-composed plan for engaging and developing communities. This book is both an inspiration and a field guide for those who wish to connect deeply and build the communities our world so desperately needs."" --Thomas A. Kolditz, PhD, Brigadier General, US Army (ret.), and Director, Ann and John Doerr Institute for New Leaders  ""This book is full of rich wisdom and simple tools to help make community real. Our mission statement includes the word 'community, ' but I never truly understood what it meant until reading this book. Too often we declare a community around affiliation without digging into the shared values and care for one another that make a real community.""  --Jason Jay, PhD, Director, Sustainability Initiative, MIT Sloan School of Management, and author of Beyond the Choir  ""A deeply thoughtful and compelling book that shares many insights with clarity, accessible examples, and ideas for implementation. I learned a lot.""  --Lawrence Levy, former CFO. Pixar Animation Studios; cofounder, Juniper Foundation; and author of To Pixar and Beyond  ""Charles Vogl's book is a lucid, ferociously intelligent, and readily accessible road map to building a more connected culture. Education about community and character has been subordinated in American education to myopic cognitive and commercial learning. The result everywhere around us is devastating, from unprecedented wealth disparities to rampant tribalism. This work points to a much-needed antidote."" --Marty Krasney, Executive Director, Dalai Lama Fellows  ""I've personally experienced the magic that Charles Vogl creates in powerful communities. People feel genuine belonging and connection. Now he has written down the essential principles so that others may experience this magic themselves. I cannot imagine a more important subject for a book in a society where so many of us hunger for connection and community.""  --Scott Sherman, Executive Director, Transformative Action Institute  ""The Art of Community is an outstanding guide to creating and fostering the meaningful communities all of us need. As technology that allows us to physically detach from one another accelerates, it has become more important than ever to understand what community and belonging mean. Strong, mature communities benefit both individuals and humanity as a whole.""  --Jonathan Knowles, Explorer in Residence, Autodesk, and host of the Autodesk IDEAS series  ""If you are tasked with bringing families, neighborhoods, or organizations together, read this book first. In The Art of Community, author Charles Vogl re-invigorates a vision of community and the importance of social bonds to our well-being. In place of our convenient and transient associations, Vogl tells us how to establish relationships that are more meaningful and enduring.""  --Michael O'Malley, author or coauthor of Every Leader Is an Artist, The Wisdom of Bees, and Leading with Kindness",https://www.target.com/p/the-art-of-community-by-charles-vogl-paperback/-/A-51413426,https://target.scene7.com/is/image/Target/GUEST_64bc92e2-8cc3-4239-a529-0b21af870d02
YardGames Giant Tumbling Timbers Natural Pine Blocks Wood Stacking Game Bundle with Outdoor 4 in a Row Lawn Game with Storage Carrying Case,82864725,"Enjoy an entertaining evening of outdoor fun with the YardGames Giant Outdoor Tumbling Timbers Stacking and 4 in a Row Game Bundle. This bundle includes the Giant Tumbling Timbers Game and a Giant 4 in a Row (or Connect 4) for hours of indoor or outdoor play. 

The Giant Tumbling Timbers set includes 56 pieces that form 19 stacked rows. Like Jenga, you and your friends will remove timbers and build a tower that can reach up to 4 feet tall. Made for 2 or more players, this extra-large outdoor yard game is a great option for group events like parties, camping, and more. Recommended for ages 8 and up, this game is a great option for kids and adults alike. 

Giant 4 is the blow-up version of the classic tabletop 4 in a Row game. This giant game can be played on the floor indoors or out in the yard! The board measures approximately 3 feet wide by 2 feet tall and includes red and blue coins that measure 3 inches in diameter. This 2-player game can also accommodate 2 teams. Make your next barbecue a hit with this oversized bundle from YardGames.",https://www.target.com/p/yardgames-giant-tumbling-timbers-natural-pine-blocks-wood-stacking-game-bundle-with-outdoor-4-in-a-row-lawn-game-with-storage-carrying-case/-/A-82864725,https://target.scene7.com/is/image/Target/GUEST_aed9044a-9ec8-4153-be03-c66d0b76b423
The Arab of the Future 2 - by  Riad Sattouf (Paperback),51411246,"  About the Book ""Originally published in France in 2015 by Allary aEditions""--Colophon.  Book Synopsis The highly anticipated continuation of Riad Sattouf's internationally acclaimed, #1 French bestseller, which was hailed by The New York Times as ""a disquieting yet essential read""In The Arab of the Future: Volume 1, cartoonist Riad Sattouf tells of the first years of his childhood as his family shuttles back and forth between France and the Middle East. In Libya and Syria, young Riad is exposed to the dismal reality of a life where food is scarce, children kill dogs for sport, and his cousins, virulently anti-Semitic and convinced he is Jewish because of his blond hair, lurk around every corner waiting to beat him up. In Volume 2, Riad, now settled in his father's hometown of Homs, gets to go to school, where he dedicates himself to becoming a true Syrian in the country of the dictator Hafez Al-Assad. Told simply yet with devastating effect, Riad's story takes in the sweep of politics, religion, and poverty, but is steered by acutely observed small moments: the daily sadism of his schoolteacher, the lure of the black market, with its menu of shame and subsistence, and the obsequiousness of his father in the company of those close to the regime. As his family strains to fit in, one chilling, barbaric act drives the Sattoufs to make the most dramatic of changes. Darkly funny and piercingly direct, The Arab of the Future, Volume 2 once again reveals the inner workings of a tormented country and a tormented family, delivered through Riad Sattouf's dazzlingly original talent.  Review Quotes ""Sattouf's story and storytelling [are] irresistible. . . . Living betwixt and between cultures may be Sattouf's destiny. It was hard on him as a child, and it may remain so in adulthood. But it makes for exceptionally good art."" --The New York Times""A deft and devastating graphic memoir . . . both sensitive and biting . . . Along the way, we get a fine-grained, first-person account of the brutality of Syria under Hafez al-Assad and Libya under Muammar Qaddafi."" --New York Review of Books""Sattouf is a master of visual storytelling, capable of compressing a great deal of human emotion and contradictions within a few panels. He creates a searing depiction of growing up poor in a country ruled by corruption and religious zealotry."" --Publishers Weekly""Nothing escapes Sattouf's curious and vigilant eyes. . . . Using the magic of his visual storytelling, Sattouf becomes a darkly humorous, poignant, and vivid guide into the mind of Syrians."" --Christian Science Monitor""Darkly ironic . . . Sattouf's father is the same immature, posturing figure familiar from volume 1--the family can only trail along in the mercurial patriarch's wake. Under Sattouf's pen, this state of affairs becomes an ingeniously apt microcosm of the larger world he grew up in."" --NPR""A darker book than its predecessor, though it's still drily funny, Sattouf never failing to make the most of the aching gap between his father's fantasies and reality."" --The Guardian (Graphic Novel of the Month)""The scope of Sattouf's comic is remarkable, taking in the complicated landscape of politics and religion, but it is in the small, human moments that he shines as an artist. . . . The Arab of the Future is essential read that deserves such a phenomenal sequel."" --Largehearted Boy""This work will undoubtedly win more accolades as the author continues the proposed five-volume series. Readers familiar with Marjane Satrapi's Persepolis will be well rewarded when they pick up this similarly engrossing book."" --Library Journal  About the Author Riad Sattouf is a best-selling cartoonist and filmmaker who grew up in Syria and Libya and now lives in Paris. The author of several comics series in France and a former contributor to the satirical publication Charlie Hebdo, Sattouf is now a weekly columnist for l'Obs. He also directed the films The French Kissers and Jacky in the Women's Kingdom.",https://www.target.com/p/the-arab-of-the-future-2-by-riad-sattouf-paperback/-/A-51411246,https://target.scene7.com/is/image/Target/GUEST_271f1f2e-88c5-4e59-a9e6-9a203589d499
ReadyWise Simple Kitchen Creamy Cheddar Broccoli Soup - 34.2oz/6ct,81814349,This box includes six pouches of Simple Kitchen's (a ReadyWise Company brand) Creamy Cheddar Broccoli Soup.This is a quick and easy meal that you can enjoy in a pinch at home.,https://www.target.com/p/readywise-simple-kitchen-creamy-cheddar-broccoli-soup-34-2oz-6ct/-/A-81814349,https://target.scene7.com/is/image/Target/GUEST_719326d2-c238-4696-b605-bdee5bdb3615
"Lionel 2023130 Star Trek Electric O Gauge Model Train Set with Bluetooth Capability, 2 Passenger Cars, 8 Tracks, and Remote Control",82748500,"Travel through space and time with the Lionel Star Trek Electric O Gauge Model Train Set. As you adventure into the world of Star Trek, your heart is sure to fill with fond memories with this miniature train kit. Complete with passenger cars, train tracks, light-up headlights, authentic train sounds, and announcements from the TV show; it'll feel like you're actually on the U.S.S. Enterprise!
 
Train collectors alike can easily control this electric-powered and Bluetooth-compatible locomotive. This toy train set includes an engine and tender, 2 passenger cars, 8 curved track pieces, and 2 straight track pieces. Hear the conductor speak familiar quotes from the Star Trek series as the train chugs along on the tracks. Download the digital app to your mobile device to enjoy wire-free play at the touch of a button. The die-cast rolling stock wheels are located in the front and back of the toy set to help move the train. Star Trek Next Generation remote puts you in the driver's seat for storytelling fun. 

Step aboard the U.S.S. Enterprise with the Lionel Star Trek Electric O Gauge Model Train Set.",https://www.target.com/p/lionel-2023130-star-trek-electric-o-gauge-model-train-set-with-bluetooth-capability-2-passenger-cars-8-tracks-and-remote-control/-/A-82748500,https://target.scene7.com/is/image/Target/GUEST_8d69a4be-5d31-4bdc-8f19-f0d475a550a7
AOG  14-Inch Single Access Door With Louvers  20-14-SDV.,81798493,American Outdoor Grill 14-Inch Single Access Door With Louvers - Vertical - 20-14-SDV. 20-14-SDV. BBQ & Outdoor Kitchen Access Doors. This American Outdoor Grill single access door with louvers features a black latch handle and single wall construction.,https://www.target.com/p/aog-14-inch-single-access-door-with-louvers-20-14-sdv/-/A-81798493,https://target.scene7.com/is/image/Target/GUEST_30dc2ecc-1c53-4be3-997e-a0c53998d028
Golden Keys to Ascension and Healing - (Easy-To-Read Encyclopedia of the Spiritual Path) by  Joshua David Stone (Paperback),78153193,"  About the Book Many of you on Earth are talking about ascension. You are talking about ascending, that is, raising frequency. We want to talk with you about this. First, there isn't just one ascension. It is a process. It is happening now--on your planet and in other universes. It is a cooperation of energies working together. Many people on Earth are working together, and you are joined by the energies of other universes to assist you in your endeavor because they have the same goal. When you increase vibration, so do they. When you raise frequency, so do they. When you improve, so do they. When you vibrate at a faster speed, when you make corrections of earthly errors, so to speak, they benefit and there is a collective sigh of relief in the heavens. Death of the body is one form of ascension. It is a process, not a static state, and it is a rather effective and efficient one we might add, because one form of density is shed at the moment of death of the body and the spirit is free to soar and t  Book Synopsis This book represents the wisdom of the ascended master condensed into concise keys that serve as a spiritual guide. These 420 golden keys present the multitude of insights Dr. Stone has gleaned from his own background and his path to God realization.",https://www.target.com/p/golden-keys-to-ascension-and-healing-easy-to-read-encyclopedia-of-the-spiritual-path-by-joshua-david-stone-paperback/-/A-78153193,https://target.scene7.com/is/image/Target/GUEST_0237ed85-78d7-41fe-8758-ac8ae0d03fbb
6' x 4' x 7' Nature Greenhouse Forest Green - Palram,16723305,"There is something very rewarding about growing your own flowers, herbs, or vegetables, and greenhouses provide the ideal environment to make that happen.  The Hybrid 6' x 4' Greenhouse from Palram combines two types of polycarbonate panels to create a balanced environment for your plants.  The translucent polycarbonate roof panels have twice the heat retention of single layer panels and allow the light to reach your plants at all angles while the crystal-clear polycarbonate side panels provide over 90% light transmission and block harmful UV rays.  Polycarbonate is a virtually unbreakable polymer that provides the light transmission of glass, but is lighter, stronger, and safer.  Palram engineers their panels and aluminum frames to be strong, highly resistant to harsh weather and sun, and durable.  This attention to detail continues with an integrated gutter system for drainage as well as a roof vent and hinged door to provide airflow and allow adjustment of heat, humidity, and ventilation.  The 6' x 4' Hybrid Greenhouse comes as a complete kit and can be quickly and easily assembled.  Extend the enjoyment of your growing season and protect your plants from harsh weather and pests with the Hybrid Greenhouse kit from Palram!",https://www.target.com/p/6-x-4-x-7-nature-greenhouse-forest-green-palram/-/A-16723305,https://target.scene7.com/is/image/Target/GUEST_34f06cbc-379f-4e9b-8004-29e79cdbfb44
Gardena Classic Impulse Sprinkler on Weighted Base w/ Adjustable Range (2 Pack),81504692,"The Gardena Classic Impulse Sprinkler is a great way to get sprinkler coverage over a large lawn. The spray can cover up 5200 square feet. The range is easily adjustable, so you can set it to whatever works best for your lawn. It's also set on a weighted base, so it'll keep stable without the need for staking it through the ground.

It's also a part of the Gardena system. Because of this, it comes with a quick connector that fits on to any traditional water valve. After screwing it on once, you'll never have to do so again since the quick connectors snap together for an instant setup. That way you can get your lawn watered faster and the job done quicker.",https://www.target.com/p/gardena-classic-impulse-sprinkler-on-weighted-base-w-adjustable-range-2-pack/-/A-81504692,https://target.scene7.com/is/image/Target/GUEST_f513027b-3bf6-408b-8d63-af49fe398918
